1,1,491.95,479.29,49.06,124.46,0.8559,0,1
1,2,313.41,577.49,67.16,124.37,0.8002,0,1
1,3,356.88,478.73,53.62,106.04,0.6605,0,1
1,4,738.42,423.78,54.67,93.61,0.6518,0,1
1,5,169.78,548.05,77.81,85.26,0.6461,0,1
1,6,681.99,342.27,27.79,88.13,0.6211,0,1
1,7,882.07,300.54,28.00,71.99,0.5758,0,1
1,8,487.19,662.46,65.35,92.82,0.5021,0,1
1,9,393.69,674.84,37.22,26.24,0.4745,32,1
1,10,114.91,392.22,34.49,72.88,0.4678,0,1
1,11,45.60,296.47,23.40,53.61,0.4500,0,1
1,12,559.51,663.83,70.05,91.66,0.4479,0,1
1,13,829.27,328.30,33.76,83.07,0.4184,0,1
1,14,298.55,486.09,45.88,115.75,0.3027,0,1
2,1,489.08,479.48,51.34,124.12,0.8600,0,1
2,2,313.01,579.17,67.56,122.76,0.7955,0,1
2,3,738.52,422.85,52.28,92.36,0.7917,0,1
2,4,169.20,548.17,78.29,85.03,0.6933,0,1
2,5,356.84,479.16,53.41,108.69,0.6755,0,1
2,6,880.95,300.45,28.59,72.17,0.6138,0,1
2,7,681.17,340.02,26.41,88.85,0.6057,0,1
2,8,558.36,664.48,70.38,91.18,0.5049,0,1
2,9,486.04,663.01,65.29,91.88,0.4519,0,1
2,10,393.42,674.88,37.16,26.45,0.4454,32,1
2,11,114.70,392.63,33.94,72.29,0.4387,0,1
2,12,44.86,297.46,23.96,52.64,0.4003,0,1
2,13,824.83,326.31,33.33,76.01,0.3472,0,1
2,14,242.49,293.62,29.55,74.70,0.2974,0,1
3,1,488.49,479.72,51.70,124.49,0.8648,0,1
3,2,312.10,579.39,67.95,122.56,0.7933,0,1
3,3,357.63,479.04,52.34,109.44,0.7086,0,1
3,4,744.07,420.75,48.63,94.36,0.6684,0,1
3,5,169.37,547.70,77.94,85.66,0.6654,0,1
3,6,879.23,298.34,31.10,74.55,0.5890,0,1
3,7,557.20,664.40,70.79,90.99,0.5477,0,1
3,8,677.97,342.44,27.53,88.52,0.4967,0,1
3,9,826.52,324.78,29.89,83.53,0.4327,0,1
3,10,485.40,663.57,65.32,91.10,0.4325,0,1
3,11,114.59,392.25,33.22,72.70,0.4248,0,1
3,12,242.40,293.77,31.15,74.43,0.3801,0,1
3,13,44.22,298.07,23.79,52.86,0.3784,0,1
3,14,392.40,674.50,37.38,26.84,0.3675,32,1
3,15,754.76,719.29,54.11,36.71,0.2660,0,1
3,16,297.80,485.70,44.89,115.74,0.2550,0,1
